Date,CM_Open,CM_High,CM_Low,CM_Close,CM_Adj_Close,CM_Volume,CM_Return,CM_Percent_Return
2008-07-21,58.259998,59.560001,57.279999,57.75,34.47683,1893900,0,0
2008-07-22,57,60.490002,54.860001,60.119999,35.89172,4240000,0.041038866,4.103886581
2008-07-23,60,63.73,59.110001,63.290001,37.784225,4622400,0.052728178,5.272817798
2008-07-24,62.66,63,59.130001,59.580002,35.569344,5718100,-0.058619199,-5.861919889
2008-07-25,59.91,60.27,57.529999,58.639999,35.008183,5096900,-0.015776535,-1.577653498
2008-07-28,58.330002,59.380001,57.450001,57.580002,34.375347,3465000,-0.018076802,-1.807680222
2008-07-29,57.450001,60.650002,57.200001,60.450001,36.088734,2225000,0.049843482,4.984348231
2008-07-30,61,62.25,60.450001,61.240002,36.560375,2102400,0.013068926,1.306892616
2008-07-31,60.25,62.75,60.07,61.98,37.002148,3566000,0.012083383,1.208338262
2008-08-01,62.5,62.75,61.060001,62.25,37.163349,1477100,0.004356531,0.435653087
2008-08-05,61.75,63.880001,61.560001,63.419998,37.861835,1627400,0.018795023,1.879502302
2008-08-06,63,63.419998,61.75,62.919998,37.563316,1707000,-0.00788443,-0.788443032
2008-08-07,62.119999,63.09,60.220001,61,36.417095,2299000,-0.030514372,-3.051437205
2008-08-08,60.75,62.950001,60.400002,62.349998,37.223038,1614100,0.022130898,2.213089759
2008-08-11,61.860001,63.849998,61.509998,62.5,37.312588,1270400,0.002405768,0.240576817
2008-08-12,62.200001,62.689999,61.220001,61.91,36.960354,1142000,-0.009440085,-0.944008494
2008-08-13,61,61.259998,59.279999,59.700001,35.640984,1656800,-0.035696898,-3.569689836
2008-08-14,59.470001,61.07,59.02,60.5,36.118595,1172600,0.013400612,1.340061206
2008-08-15,60.75,61.310001,60.16,61.209999,36.542461,1237900,0.011735396,1.173539558
2008-08-18,61.52,61.540001,59.919998,60.25,35.969337,1034500,-0.015683782,-1.568378222
2008-08-19,59.639999,59.75,57.669998,58.450001,34.894741,1852800,-0.029875335,-2.987533521
2008-08-20,58.549999,59.630001,57.259998,59.330002,35.420101,1346800,0.015055564,1.505556382
2008-08-21,58.349998,59.439999,57.68,58.43,34.882809,999800,-0.015169127,-1.516912671
2008-08-22,59.040001,59.48,58.540001,59.380001,35.449944,1155600,0.016258295,1.625829502
2008-08-25,58.77,59.049999,57.779999,57.91,34.572361,954100,-0.024755554,-2.475555392
2008-08-26,57.330002,57.939999,56.700001,57.060001,34.064903,1052700,-0.014678141,-1.46781413
2008-08-27,56.700001,61.189999,56.700001,60.099998,35.879787,4161300,0.05327724,5.327723963
